Nível;CD_MUN;Município;Cana-2016;Soja-2016;Cana-2017;Soja-2017;Cana-2018;Soja-2018;Cana-2019;Soja-2019;Cana-2020;Soja-2020
MU;3507001;Boituva (SP);100000;3000;100000;3000;80000;3000;73333;3000;100000;3000
MU;3507100;Bom Jesus dos Perdões (SP);0;0;0;0;0;0;0;0;0;0
MU;3507159;Bom Sucesso de Itararé (SP);0;2267;0;0;0;0;0;0;0;0
MU;3507209;Borá (SP);59690;0;56010;0;65000;0;68000;2100;70000;0
MU;3507308;Boracéia (SP);85000;2700;85000;3241;85000;3545;80000;2494;75000;2882
MU;3507407;Borborema (SP);90000;3000;90000;3000;75000;3000;82000;3000;82000;3000
MU;3507456;Borebi (SP);90000;3962;80000;4100;68000;3742;68000;3742;72500;2989
MU;3507506;Botucatu (SP);70000;3000;80000;2880;80000;2881;79409;2883;79409;2883
MU;3507605;Bragança Paulista (SP);80000;2500;80000;2500;80000;2500;80000;2500;80000;2500
MU;3507704;Braúna (SP);83170;3000;70200;3300;70200;3300;62000;2400;70000;2400
MU;3507753;Brejo Alegre (SP);80000;3600;80000;3600;90000;3300;60000;1500;90000;3600
MU;3507803;Brodowski (SP);65000;2700;65000;2400;65000;3600;65000;3600;75000;3600
MU;3507902;Brotas (SP);82090;3000;80000;3419;80000;4116;82000;3262;75000;4036
MU;3508009;Buri (SP);0;3000;0;3000;0;4001;0;3146;0;3146
MU;3508108;Buritama (SP);81194;3000;90000;3752;80000;2169;80000;3710;80000;3986
MU;3508207;Buritizal (SP);80000;3300;80000;3300;80000;3300;60000;2100;60000;2100
MU;3508306;Cabrália Paulista (SP);70000;0;55000;0;47312;3375;48889;0;48000;2800
MU;3508405;Cabreúva (SP);80000;1919;75000;0;60000;0;75000;0;79000;0
MU;3508504;Caçapava (SP);100000;0;120000;0;120000;0;120000;0;120000;0
MU;3508603;Cachoeira Paulista (SP);60000;0;60000;0;66000;0;66000;0;60000;0
MU;3508702;Caconde (SP);80000;1900;80000;1900;82000;0;82000;3000;80665;3000
MU;3508801;Cafelândia (SP);76572;0;71200;3000;70000;3058;63000;1501;75001;3000
MU;3508900;Caiabu (SP);75000;0;75000;0;75000;0;75000;0;75000;0
MU;3509007;Caieiras (SP);0;0;0;0;2000;0;2000;0;2000;0
MU;3509106;Caiuá (SP);85329;0;64000;2500;64000;0;64000;0;64000;2500
MU;3509205;Cajamar (SP);0;0;0;0;0;0;0;0;0;0
MU;3509254;Cajati (SP);0;0;0;0;20000;0;20000;0;20000;0
MU;3509304;Cajobi (SP);80000;3360;80000;3600;80000;2698;90000;2711;100000;3600
MU;3509403;Cajuru (SP);70000;0;67200;0;67154;0;67200;3360;67200;3360
MU;3509452;Campina do Monte Alegre (SP);85000;4200;85000;4200;85000;4200;85000;4200;0;4200
MU;3509502;Campinas (SP);100000;2400;95286;3300;80000;2500;74588;2400;74588;2400
MU;3509601;Campo Limpo Paulista (SP);0;0;0;0;0;0;0;0;0;0
MU;3509700;Campos do Jordão (SP);0;0;0;0;0;0;0;0;0;0
MU;3509809;Campos Novos Paulista (SP);70000;2700;70000;3000;69000;3100;40000;3600;78960;3290
MU;3509908;Cananéia (SP);10000;0;10000;0;10000;0;10000;0;10000;0
MU;3509957;Canas (SP);0;0;0;0;0;0;0;0;0;0
MU;3510005;Cândido Mota (SP);74000;3000;80000;3229;83000;3190;83000;3263;83000;3263
MU;3510104;Cândido Rodrigues (SP);62000;0;68625;1689;80000;4000;90000;4000;87000;0
MU;3510153;Canitar (SP);71000;2480;71000;3300;65000;3104;70000;2700;78960;2810
MU;3510203;Capão Bonito (SP);0;4500;0;4500;0;4500;0;4500;0;4500
MU;3510302;Capela do Alto (SP);90000;3600;90000;3000;90000;3000;83000;3000;89334;3133
MU;3510401;Capivari (SP);75000;3000;75000;3000;75000;3000;70000;3000;68000;3000
MU;3510500;Caraguatatuba (SP);0;0;0;0;0;0;0;0;0;0
MU;3510609;Carapicuíba (SP);0;0;0;0;0;0;0;0;0;0
MU;3510708;Cardoso (SP);74000;2800;98000;3320;72000;3058;76000;1756;80000;3446
MU;3510807;Casa Branca (SP);89091;2700;94091;3600;100000;3586;100000;3600;94394;3460
MU;3510906;Cássia dos Coqueiros (SP);55000;3000;54767;0;60000;0;60000;0;60000;2700
MU;3511003;Castilho (SP);75000;2400;75000;2400;75000;3000;70281;1680;73427;2173
MU;3511102;Catanduva (SP);85000;0;85000;3419;85000;2462;81000;3600;83667;3600
MU;3511201;Catiguá (SP);82000;0;80000;0;85000;0;85000;0;85000;0
MU;3511300;Cedral (SP);100000;0;100000;0;90000;0;80000;2700;75000;3000
MU;3511409;Cerqueira César (SP);85000;3375;80000;4640;75000;3380;80000;3150;75000;3750
MU;3511508;Cerquilho (SP);95436;3564;90000;3429;90000;3300;90000;2800;90000;2800
MU;3511607;Cesário Lange (SP);80000;0;80000;3600;80000;3600;80000;3600;80000;3400
MU;3511706;Charqueada (SP);65000;0;65000;0;65049;0;65316;0;65016;0
MU;3511904;Clementina (SP);78210;3000;65540;3000;65540;3000;57000;1800;70000;3000
MU;3512001;Colina (SP);85000;2700;85000;3600;80000;3000;81000;2333;82000;3700
MU;3512100;Colômbia (SP);80000;3000;80372;3612;80000;3436;80000;2881;80000;3480
MU;3512209;Conchal (SP);85000;3720;85211;3720;85211;3720;75000;3360;75000;3900
MU;3512308;Conchas (SP);70000;3000;70000;2717;80000;3959;80524;3980;80524;4063
MU;3512407;Cordeirópolis (SP);110000;3600;110000;3600;110065;3500;96600;3238;91707;3481
MU;3512506;Coroados (SP);90000;3209;90000;3600;85000;3480;70000;2135;85000;3000
MU;3512605;Coronel Macedo (SP);120000;3325;100000;3700;80000;3160;0;3798;0;3600
MU;3512704;Corumbataí (SP);65000;2600;65000;0;70000;2600;70000;2600;70000;3600
MU;3512803;Cosmópolis (SP);75000;2391;75000;2391;82000;2600;80000;3750;76667;2793
MU;3512902;Cosmorama (SP);80000;3500;80000;3375;80000;3375;70000;2400;70000;2760
MU;3513009;Cotia (SP);0;0;0;0;0;0;0;0;0;0
MU;3513108;Cravinhos (SP);80000;3000;71000;0;71000;0;71000;0;71000;0
MU;3513207;Cristais Paulista (SP);80000;3360;75000;3420;85000;3420;80000;3000;78333;3280
MU;3513306;Cruzália (SP);75000;0;100000;3375;100000;2883;85000;2878;90000;2883
MU;3513405;Cruzeiro (SP);65000;0;65000;0;65000;0;65000;0;65000;0
MU;3513504;Cubatão (SP);0;0;0;0;0;0;0;0;0;0
MU;3513603;Cunha (SP);0;0;0;0;0;0;0;0;0;0
MU;3513702;Descalvado (SP);80000;0;80000;0;80000;0;80000;0;80000;3000
MU;3513850;Dirce Reis (SP);80000;0;80000;0;80000;0;80000;0;80000;0
MU;3513900;Divinolândia (SP);80000;0;80000;0;0;0;0;3000;0;3000
MU;3514007;Dobrada (SP);90000;2100;90000;3417;89000;4000;90000;3800;90000;3500
MU;3514106;Dois Córregos (SP);85000;3000;85000;3295;85000;3531;85000;3319;75000;3544
MU;3514205;Dolcinópolis (SP);90000;0;90000;0;90000;0;90000;0;90000;0
MU;3514304;Dourado (SP);75000;2700;77800;2000;72000;3540;72000;3540;80000;3200
MU;3514403;Dracena (SP);75000;0;70000;0;70000;0;70000;0;70000;0
MU;3514502;Duartina (SP);70000;0;65000;0;70000;0;74000;0;78959;0
MU;3514601;Dumont (SP);80000;3000;85000;3000;85000;3000;85000;3400;85000;3600
MU;3514700;Echaporã (SP);75487;0;70000;2520;60000;2520;75000;2520;65000;2500
MU;3514809;Eldorado (SP);0;0;0;0;0;0;0;0;0;0
MU;3514908;Elias Fausto (SP);80000;3000;76000;3600;79000;2100;79000;2100;80000;3500
MU;3514924;Elisiário (SP);90000;0;90000;0;72000;0;66000;2703;66000;0
MU;3514957;Embaúba (SP);80000;3000;80000;3000;85000;3000;85000;2714;85000;3600
MU;3515004;Embu das Artes (SP);0;0;0;0;0;0;0;0;0;0
MU;3515103;Embu-Guaçu (SP);0;0;0;0;0;0;0;0;0;0
MU;3515129;Emilianópolis (SP);100000;3000;100000;2400;100000;3300;100000;3300;100000;2700
MU;3515152;Engenheiro Coelho (SP);78000;4000;85000;4000;93000;3701;90000;3480;85000;3193
MU;3515186;Espírito Santo do Pinhal (SP);80000;0;59674;3000;70000;0;70000;0;80000;0
MU;3515194;Espírito Santo do Turvo (SP);70000;2700;60000;3800;65000;3226;75000;3000;78900;3050
MU;3515202;Estrela d'Oeste (SP);80000;1803;80000;2400;80000;2400;80000;1800;80000;1750
MU;3515301;Estrela do Norte (SP);90000;2400;85000;2300;85000;3900;85000;3900;85000;3899
